link,title,location,company_name,description,post_time
https://wuzzuf.net//jobs/p/NWJbtwSv5Mnv-iOS-Mobile-Developer-qTech-AlQemam-Dakahlia-Egypt?o=24&l=sp&t=sj&a=data science|search-v3|hpb,iOS Mobile Developer,"Mansoura, Dakahlia, Egypt ","qTech. ""AlQemam"" -",Full Time Experienced · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Objective-C · Java · OpenGL · Mobile Development · Computer Science · Computer Engineering · Software Engineering,10 days ago
https://wuzzuf.net//jobs/p/MmnN4zE5f5Kq-Assistant-ProfessorLecturer-in-Computer-Science-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=25&l=sp&t=sj&a=data science|search-v3|hpb,Assistant Professor/Lecturer in Computer Science,"Cairo, Egypt ",El Sewedy Education - The Knowledge Hub Universities -,Full Time Experienced · 3+ Yrs of Exp · Education/Teaching · Computer Engineering · Education · Cloud Computing) · High Performance Computing,17 days ago
https://wuzzuf.net//jobs/p/VDe2oASPR4O5-BI-DWH-Sr-Specialist-Masary-Cairo-Egypt?o=26&l=sp&t=sj&a=data science|search-v3|hpb,BI & DWH Sr. Specialist,"Maadi, Cairo, Egypt ",Masary -,Full Time Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · BI · Data Warehouse · Oracle · SQL · ETL · SQL Server,15 days ago
https://wuzzuf.net//jobs/p/mcm39Bxtyy32-Senior-Data-Warehouse-DeveloperArchitect-FlairsTech-Cairo-Egypt?o=27&l=sp&t=sj&a=data science|search-v3|hpb,Senior Data Warehouse Developer/Architect,"Cairo, Egypt ",FlairsTech -,Full Time Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · BI · Computer Science · Data Warehouse · Database · Design · ETL · Information Technology (IT) · Programming,2 months ago
https://wuzzuf.net//jobs/p/z6LDpGH0mYFk-Data-Analyst-FlairsTech-Cairo-Egypt?o=28&l=sp&t=sj&a=data science|search-v3|hpb,Data Analyst,"Maadi, Cairo, Egypt ",FlairsTech -,Full Time Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Computer Science · Information Technology (IT) · BI · English,2 months ago
https://wuzzuf.net//jobs/p/Asr3KKEmiMLz-Senior-BI-Developer-LINK-Development-Cairo-Egypt?o=29&l=sp&t=sj&a=data science|search-v3|hpb,Senior BI Developer,"Maadi, Cairo, Egypt ",LINK Development -,Full Time Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · T-SQL · OLAP · BI · SQL · SSRS · ETL · Power BI · Data Warehouse,18 days ago
https://wuzzuf.net//jobs/p/KQVc6zixIK3h-Business-Analyst-SSC-Egypt-Cairo-Egypt?o=30&l=sp&t=sj&a=data science|search-v3|hpb,Business Analyst,"Nasr City, Cairo, Egypt ",SSC Egypt -,Full Time Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Business Analysis · Computer Science · Data · Data Analysis · English,17 days ago
https://wuzzuf.net//jobs/p/VIqKmAwl9kiC-BI-Data-Analytics-Engineer-Kandil-Industries-Cairo-Egypt?o=31&l=sp&t=sj&a=data science|search-v3|hpb,BI Data Analytics Engineer,"10th of Ramadan City, Cairo, Egypt ",Kandil Industries -,Full Time Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · analytical · BI development · Power BI · SQL · Information Technology (IT) · Data,30 days ago
https://wuzzuf.net//jobs/p/pupdhlXqPr2x-Data-Analyst-Egypt-Impact-Lab-National-Institute-for-Governance-and-Development-Cairo-Egypt?o=32&l=sp&t=sj&a=data science|search-v3|hpb,"Data Analyst, Egypt Impact Lab","Nasr City, Cairo, Egypt ",National Institute for Governance and Development -,Full Time Experienced · 2 - 5 Yrs of Exp · Analyst/Research · Customer Experience · Computer Science · Database SQL Server · Business Analysis,2 months ago
https://wuzzuf.net//jobs/p/lxgMiIHLJFf3-Senior-Data-Analytics-Specialist-Dammam-Saudi-Arabia?o=33&l=sp&t=sj&a=data science|search-v3|hpb,Senior Data Analytics Specialist,"Dammam, Saudi Arabia ",Confidential -,Full Time Experienced · 5+ Yrs of Exp · Analyst/Research · analytical · Computer Science · Software Development · SQL · Analysis · Google Analytics · Digital Marketing · Marketing · Social Media,2 months ago
